iter	Passed	Remaining
0	350	174851
1	656	163446
2	953	158033
3	1258	156026
4	1579	156412
5	1899	156412
6	2180	153537
7	2473	152138
8	2747	149905
9	3023	148172
10	3312	147245
11	3600	146405
12	3891	145789
13	4189	145418
14	4502	145593
15	4803	145312
16	5090	144621
17	5377	144007
18	5664	143399
19	5941	142588
20	6232	142156
21	6521	141688
22	6796	140963
23	7080	140425
24	7373	140093
25	7672	139868
26	7971	139657
27	8267	139372
28	8561	139042
29	8857	138770
30	9145	138367
31	9432	137957
32	9731	137712
33	10013	137250
34	10298	136825
35	10575	136302
36	10856	135852
37	11138	135422
38	11429	135098
39	11714	134717
40	12001	134357
41	12290	134027
42	12576	133656
43	12856	133236
44	13150	132961
45	13435	132602
46	13717	132210
47	14002	131852
48	14278	131424
49	14568	131114
50	14849	130732
51	15126	130321
52	15412	129990
53	15704	129703
54	15991	129385
55	16275	129038
56	16550	128627
57	16834	128292
58	17125	128006
59	17403	127627
60	17687	127292
61	17963	126902
62	18239	126516
63	18526	126214
64	18808	125872
65	19093	125554
66	19377	125233
67	19660	124899
68	19936	124533
69	20217	124191
70	20501	123877
71	20786	123562
72	21078	123292
73	21358	122955
74	21633	122590
75	21927	122334
76	22215	122042
77	22494	121699
78	22775	121375
79	23071	121126
80	23351	120794
81	23634	120477
82	23926	120211
83	24206	119880
84	24496	119598
85	24781	119297
86	25078	119052
87	25368	118771
88	25647	118438
89	25938	118166
90	26229	117889
91	26509	117565
92	26788	117234
93	27066	116904
94	27353	116613
95	27639	116317
96	27926	116024
97	28212	115727
98	28497	115427
99	28771	115086
100	29050	114762
101	29339	114483
102	29621	114173
103	29904	113865
104	30197	113599
105	30480	113295
106	30773	113028
107	31066	112760
108	31346	112444
109	31629	112142
110	31903	111805
111	32195	111535
112	32485	111255
113	32762	110934
114	33045	110630
115	33334	110348
116	33626	110076
117	33901	109749
118	34196	109486
119	34490	109220
120	34777	108932
121	35067	108651
122	35345	108336
123	35624	108021
124	35901	107704
125	36184	107405
126	36467	107105
127	36745	106792
128	37028	106492
129	37309	106188
130	37597	105905
131	37872	105583
132	38150	105272
133	38429	104963
134	38716	104679
135	38995	104369
136	39270	104053
137	39547	103741
138	39822	103422
139	40104	103126
140	40385	102825
141	40655	102496
142	40929	102181
143	41210	101880
144	41482	101560
145	41761	101257
146	42029	100926
147	42299	100604
148	42578	100301
149	42853	99991
150	43132	99690
151	43413	99395
152	43689	99086
153	43966	98781
154	44245	98481
155	44525	98183
156	44796	97866
157	45062	97541
158	45341	97242
159	45622	96947
160	45895	96637
161	46175	96342
162	46448	96032
163	46721	95722
164	46993	95411
165	47266	95101
166	47538	94792
167	47817	94497
168	48093	94195
169	48365	93886
170	48640	93582
171	48908	93266
172	49176	92952
173	49460	92667
174	49738	92371
175	50017	92076
176	50298	91787
177	50577	91493
178	50856	91201
179	51129	90897
180	51410	90607
181	51678	90295
182	51956	90000
183	52223	89688
184	52500	89392
185	52772	89089
186	53065	88821
187	53355	88547
188	53641	88266
189	53931	87993
190	54216	87712
191	54509	87442
192	54789	87152
193	55092	86898
194	55390	86636
195	55685	86368
196	55985	86109
197	56273	85831
198	56571	85567
199	56854	85281
200	57152	85018
201	57441	84741
202	57729	84461
203	58023	84190
204	58298	83893
205	58593	83623
206	58892	83359
207	59181	83082
208	59478	82814
209	59765	82533
210	60054	82254
211	60324	81950
212	60594	81646
213	60865	81344
214	61129	81032
215	61402	80732
216	61689	80452
217	61974	80168
218	62263	79890
219	62571	79637
220	62861	79359
221	63137	79064
222	63420	78777
223	63702	78490
224	63984	78202
225	64257	77905
226	64537	77615
227	64823	77333
228	65096	77035
229	65378	76748
230	65667	76469
231	65953	76187
232	66230	75894
233	66506	75601
234	66783	75308
235	67063	75019
236	67345	74733
237	67636	74456
238	67917	74169
239	68201	73885
240	68481	73595
241	68765	73312
242	69044	73022
243	69315	72724
244	69593	72434
245	69866	72138
246	70133	71837
247	70415	71551
248	70686	71254
249	70963	70963
250	71239	70672
251	71510	70375
252	71783	70081
253	72052	69783
254	72326	69489
255	72600	69197
256	72877	68907
257	73157	68620
258	73438	68334
259	73708	68038
260	73984	67748
261	74260	67458
262	74542	67173
263	74814	66879
264	75089	66588
265	75360	66294
266	75632	66001
267	75905	65708
268	76187	65424
269	76459	65131
270	76734	64842
271	77017	64558
272	77304	64278
273	77585	63993
274	77852	63697
275	78130	63410
276	78404	63119
277	78677	62828
278	78946	62534
279	79224	62248
280	79498	61958
281	79770	61666
282	80055	61385
283	80328	61094
284	80607	60809
285	80891	60526
286	81173	60243
287	81450	59956
288	81727	59669
289	82003	59381
290	82285	59098
291	82552	58804
292	82831	58519
293	83114	58236
294	83386	57946
295	83658	57656
296	83923	57362
297	84198	57073
298	84477	56789
299	84747	56498
300	85029	56215
301	85310	55932
302	85576	55638
303	85859	55357
304	86134	55069
305	86409	54782
306	86686	54496
307	86961	54209
308	87239	53924
309	87513	53637
310	87786	53349
311	88075	53070
312	88352	52785
313	88629	52500
314	88903	52213
315	89179	51927
316	89460	51644
317	89735	51358
318	90002	51067
319	90278	50781
320	90563	50501
321	90842	50217
322	91115	49930
323	91392	49645
324	91667	49359
325	91939	49072
326	92217	48788
327	92498	48505
328	92776	48221
329	93048	47934
330	93317	47645
331	93595	47361
332	93864	47073
333	94138	46787
334	94412	46501
335	94686	46215
336	94957	45929
337	95226	45640
338	95510	45360
339	95781	45073
340	96058	44789
341	96328	44502
342	96601	44217
343	96878	43933
344	97150	43647
345	97433	43366
346	97720	43087
347	97999	42804
348	98279	42522
349	98567	42243
350	98852	41962
351	99129	41679
352	99396	41391
353	99671	41107
354	99952	40825
355	100227	40541
356	100502	40257
357	100773	39971
358	101043	39685
359	101316	39400
360	101592	39117
361	101861	38831
362	102135	38547
363	102416	38265
364	102690	37981
365	102963	37697
366	103238	37413
367	103522	37132
368	103793	36848
369	104069	36564
370	104345	36282
371	104622	35999
372	104907	35719
373	105184	35436
374	105458	35152
375	105730	34868
376	106006	34585
377	106283	34303
378	106554	34018
379	106825	33734
380	107099	33451
381	107375	33168
382	107664	32889
383	107941	32607
384	108228	32327
385	108499	32043
386	108771	31760
387	109040	31475
388	109317	31193
389	109603	30913
390	109874	30629
391	110143	30345
392	110415	30062
393	110694	29780
394	110967	29497
395	111242	29215
396	111522	28934
397	111797	28651
398	112068	28368
399	112348	28087
400	112627	27805
401	112913	27526
402	113214	27250
403	113508	26972
404	113799	26693
405	114091	26415
406	114382	26136
407	114667	25856
408	114956	25577
409	115249	25298
410	115536	25018
411	115835	24741
412	116127	24462
413	116425	24184
414	116716	23905
415	117005	23626
416	117298	23347
417	117594	23068
418	117888	22789
419	118167	22508
420	118445	22226
421	118736	21946
422	119034	21668
423	119323	21388
424	119616	21108
425	119913	20830
426	120202	20549
427	120478	20267
428	120761	19986
429	121042	19704
430	121316	19421
431	121593	19139
432	121864	18856
433	122137	18573
434	122408	18290
435	122712	18012
436	123008	17733
437	123307	17454
438	123588	17172
439	123858	16889
440	124131	16607
441	124411	16325
442	124690	16043
443	124962	15761
444	125236	15478
445	125508	15196
446	125799	14915
447	126092	14635
448	126364	14353
449	126639	14071
450	126916	13789
451	127187	13506
452	127474	13225
453	127772	12946
454	128063	12665
455	128346	12384
456	128625	12102
457	128908	11821
458	129189	11539
459	129465	11257
460	129739	10975
461	130017	10694
462	130291	10412
463	130561	10129
464	130841	9848
465	131116	9566
466	131392	9284
467	131674	9003
468	131950	8721
469	132238	8440
470	132514	8159
471	132791	7877
472	133069	7595
473	133341	7314
474	133621	7032
475	133899	6751
476	134177	6469
477	134455	6188
478	134731	5906
479	135015	5625
480	135298	5344
481	135576	5063
482	135845	4781
483	136115	4499
484	136391	4218
485	136664	3936
486	136931	3655
487	137194	3373
488	137470	3092
489	137742	2811
490	138016	2529
491	138294	2248
492	138572	1967
493	138843	1686
494	139123	1405
495	139400	1124
496	139667	843
497	139946	562
498	140218	280
499	140492	0
